Date,Open,High,Low,Close,Adj Close,Volume
2021-06-23T15:00:00+0530,420,420,420,420,,0
2021-06-23T15:01:00+0530,420,420,420,420,,0
2021-06-23T15:02:00+0530,420,420,402,402,,0
2021-06-23T15:03:00+0530,402,402,402,402,,25
2021-06-23T15:04:00+0530,402,402,402,402,,0
2021-06-23T15:05:00+0530,402,402,402,402,,0
2021-06-23T15:06:00+0530,402,402,402,402,,0
2021-06-23T15:07:00+0530,402,402,402,402,,0
2021-06-23T15:08:00+0530,402,402,402,402,,0
2021-06-23T15:09:00+0530,402,402,402,402,,0
2021-06-23T15:10:00+0530,402,402,402,402,,0
2021-06-23T15:11:00+0530,402,402,402,402,,0
2021-06-23T15:12:00+0530,402,402,402,402,,0
2021-06-23T15:13:00+0530,402,402,402,402,,0
2021-06-23T15:14:00+0530,402,402,402,402,,0
2021-06-23T15:15:00+0530,402,402,402,402,,0
2021-06-23T15:16:00+0530,402,402,402,402,,0
2021-06-23T15:17:00+0530,402,402,402,402,,0
2021-06-23T15:18:00+0530,402,402,402,402,,0
2021-06-23T15:19:00+0530,402,402,402,402,,0
2021-06-23T15:20:00+0530,402,402,402,402,,0
2021-06-23T15:21:00+0530,402,402,402,402,,0
2021-06-23T15:22:00+0530,402,402,402,402,,0
2021-06-23T15:23:00+0530,402,402,402,402,,0
2021-06-23T15:24:00+0530,402,402,402,402,,0
2021-06-23T15:25:00+0530,402,402,402,402,,0
2021-06-23T15:26:00+0530,402,402,402,402,,0
2021-06-23T15:27:00+0530,402,402,402,402,,0
2021-06-23T15:28:00+0530,402,402,402,402,,0
2021-06-23T15:29:00+0530,402,402,402,402,,0
2021-06-24T11:07:00+0530,414.4,414.4,414.4,414.4,,0
2021-06-24T11:08:00+0530,414.4,414.4,414.4,414.4,,0
2021-06-24T11:09:00+0530,414.4,414.4,414.4,414.4,,0
2021-06-24T11:10:00+0530,414.4,414.4,414.4,414.4,,0
2021-06-24T11:11:00+0530,414.4,414.4,414.4,414.4,,0
2021-06-24T11:12:00+0530,414.4,414.4,414.4,414.4,,0
2021-06-24T11:13:00+0530,414.4,414.4,414.4,414.4,,0
2021-06-24T11:14:00+0530,414.4,414.4,414.4,414.4,,0
2021-06-24T11:15:00+0530,414.4,414.4,414.4,414.4,,0
2021-06-24T11:16:00+0530,414.4,414.4,414.4,414.4,,0
